game_id,name,no_of_reviews,percent,rates,pegi_rate,price
401250,Zulu Response,39,46,3,-,398
649000,You Shall Not Jump PC Master Race Edition,1,0,1,-,138
649040,Isle in the Sky,0,0,0,-,120
493180,Dynasty Feud,71,83,3,-,0
621300,Wing Pro 6,6,0,1,-,16
649550,Three Twenty One  Extra Content,0,0,0,-,278
649630,DarkMaze,2,0,1,-,278
649660,LIBERTY VR,3,0,1,-,152
649700,Fantasy Grounds  U02 Murder in Stoneholme PFRPG,0,0,0,-,138
649720,Fantasy Grounds  Wellstone City Savage Worlds,0,0,0,-,102
649730,OfficeBots Reality Bytes VR,3,0,1,-,138
632900,Serment  Contract with a Devil,51,84,3,-,398
413040,Eekeemoo  Splinters of the Dark Shard,1,0,1,-,148
413060,NOCT Official Soundtrack,3,0,1,-,278
413120,Tactics Forever,0,0,0,-,0
413490,Rothschild The Sheep Will Wake,3,0,1,-,278
